offset,day,method,hold,cost,tickers,exposure,return_pct
0,2018-08-01,qqq,1,0.2,QQQ,0.5,0.9385632732995086
0,2018-08-30,qqq,1,0.2,QQQ,0.5,0.026069976310494347
0,2018-10-01,qqq,1,0.2,QQQ,0.5,-0.16964770619936065
0,2018-10-30,qqq,1,0.2,,0.0,0.0
0,2018-11-29,qqq,1,0.2,,0.0,0.0
0,2019-01-02,qqq,1,0.2,,0.0,0.0
0,2019-02-01,qqq,1,0.2,,0.0,0.0
0,2019-03-05,qqq,1,0.2,QQQ,0.5,-0.431197594287247
0,2019-04-03,qqq,1,0.2,QQQ,0.5,-0.13247241277360988
0,2019-05-03,qqq,1,0.2,QQQ,0.5,0.6710769431464092
0,2019-06-04,qqq,1,0.2,QQQ,0.5,-0.20445776848517783
0,2019-07-03,qqq,1,0.2,QQQ,0.5,0.14155574273020388
0,2019-08-02,qqq,1,0.2,QQQ,0.5,-0.8344043948732227
0,2019-09-03,qqq,1,0.2,QQQ,0.5,0.13703469457295725
0,2019-10-02,qqq,1,0.2,QQQ,0.5,0.45325227125621037
0,2019-10-31,qqq,1,0.2,QQQ,0.5,0.13708377049970188
0,2019-12-02,qqq,1,0.2,QQQ,0.5,0.19918568796803982
0,2020-01-02,qqq,1,0.2,QQQ,0.5,0.10596754905238814
0,2020-02-03,qqq,1,0.2,QQQ,0.5,0.35389884388996595
0,2020-03-04,qqq,1,0.2,QQQ,0.5,-0.35797717839969323
0,2020-04-02,qqq,1,0.2,,0.0,0.0
0,2020-05-04,qqq,1,0.2,QQQ,0.5,-0.049412228450629314
0,2020-06-03,qqq,1,0.2,QQQ,0.5,-0.37439035357311745
0,2020-07-02,qqq,1,0.2,QQQ,0.5,0.47440868342527587
0,2020-08-03,qqq,1,0.2,QQQ,0.5,0.1822137533767254
0,2020-09-01,qqq,1,0.2,QQQ,0.5,-0.1854563641892626
0,2020-10-01,qqq,1,0.2,QQQ,0.5,-0.40903982830030605
0,2020-10-30,qqq,1,0.2,QQQ,0.5,-0.4431516763772514
0,2020-12-01,qqq,1,0.2,QQQ,0.5,0.16425362849097347
0,2020-12-31,qqq,1,0.2,QQQ,0.5,-1.0183729625280469
0,2021-02-02,qqq,1,0.2,QQQ,0.5,-0.6203550804071423
0,2021-03-04,qqq,1,0.2,QQQ,0.5,0.20587706827999153
0,2021-04-05,qqq,1,0.2,QQQ,0.5,-0.08632157330074053
0,2021-05-04,qqq,1,0.2,QQQ,0.5,-0.583506970002512
0,2021-06-03,qqq,1,0.2,QQQ,0.5,0.46398530369697877
0,2021-07-02,qqq,1,0.2,QQQ,0.5,0.029272995257700885
0,2021-08-03,qqq,1,0.2,QQQ,0.5,-0.022348982648667803
0,2021-09-01,qqq,1,0.2,QQQ,0.5,-0.30500396164848675
0,2021-10-01,qqq,1,0.2,QQQ,0.5,-0.9210824436084897
0,2021-11-01,qqq,1,0.2,QQQ,0.5,0.19036677786237188
0,2021-12-01,qqq,1,0.2,QQQ,0.5,0.4316971239213929
0,2021-12-31,qqq,1,0.2,QQQ,0.5,0.22897475388936606
0,2022-02-01,qqq,1,0.2,QQQ,0.5,-0.27129262426913714
0,2022-03-03,qqq,1,0.2,,0.0,0.0
0,2022-04-01,qqq,1,0.2,,0.0,0.0
0,2022-05-03,qqq,1,0.2,,0.0,0.0
0,2022-06-02,qqq,1,0.2,,0.0,0.0
0,2022-07-05,qqq,1,0.2,,0.0,0.0
0,2022-08-03,qqq,1,0.2,,0.0,0.0
0,2022-09-01,qqq,1,0.2,,0.0,0.0
0,2022-10-03,qqq,1,0.2,,0.0,0.0
0,2022-11-01,qqq,1,0.2,,0.0,0.0
0,2022-12-01,qqq,1,0.2,,0.0,0.0
0,2023-01-03,qqq,1,0.2,,0.0,0.0
